Day,Time,Type,Channel,Task Name,Content/Script,Coaching Notes
0,Immediate,Text,Text,First Contact - Text,"Hi [Name], [Lead Manager First Name] here. Saw you reached out about [Address]. Is now a bad time?","ASKING ""Is now a bad time?"" gets better responses than ""Do you have time?"" People feel safer saying ""no"" than committing to ""yes."" Gives them control of the conversation."
0,+2 min,Call,Phone,First Call - No VM,"Hi [Name], this is [Lead Manager First Name]. I just texted you - did you get it?

[If yes] Great. I saw you reached out about [Address]. It seems like you might be exploring your options?

[Listen for response]

What's got you thinking about selling [Address]?","START WITH ""It seems like..."" to show you understand their situation (makes them feel heard). Then ask ""What's got you thinking about selling?"" instead of yes/no questions - forces them to open up and tell you what's really going on."
0,+10 min,Email,Email,Personal Email from Lead Manager,"SUBJECT: [Name] - [Address]

Hi [Name],

I'm [Lead Manager First Name]. Just tried calling you about [Address].

It sounds like you might be weighing your options on what to do with the property.

I work with homeowners in [Neighborhood] who are in similar situations - some need to sell quickly, some just want to know what it's worth, some are testing the waters.

What makes the most sense for you right now?

No pressure either way.

[Lead Manager First Name]
[Lead Manager Phone]","ACKNOWLEDGE different scenarios they might be in (shows empathy). Ask ""What makes sense for you?"" instead of pitching - makes them articulate their needs. End with ""No pressure"" to create safety."
0,+4 hours,Call,Phone + VM,Second Call + Leave VM,"CALL: Hi [Name], [Lead Manager First Name] again. I tried you earlier. Is this still a bad time?

[If they answer] It seems like you've been tough to reach - I'm guessing you're pretty busy?

VOICEMAIL: Hi [Name], [Lead Manager First Name] with REI Team. Look, I know you're probably getting bombarded with calls about [Address]. I get it - that must be overwhelming.

Here's what I'm NOT going to do: I'm not going to bug you every day or pressure you into something that doesn't make sense for you.

What I CAN do: Give you a straight answer on what we can offer and let you decide if it makes sense.

If now's not the right time, no problem. My number is [Lead Manager Phone].

Talk soon.","CALL OUT their concerns BEFORE they say them (""I know you're getting bombarded...""). This disarms objections and shows you get it. Removes pressure by acknowledging what they're thinking."
0,6:00 PM,Text,Text,Evening Text,"Hi [Name], [Lead Manager First Name]. Haven't connected yet. Is the timing just not right?","ASKING ""Is the timing just not right?"" makes it easy for them to respond without feeling pressured. They can say ""yeah, bad timing"" and keep the door open."
1,10:00 AM,Call,Phone,Third Call,"Hi [Name], [Lead Manager First Name]. Still trying to connect with you about [Address]. Are you avoiding me?

[If they laugh/respond] It seems like maybe the timing just hasn't been right?

[If no answer] I'll try again later - no pressure.","USE HUMOR to break tension (""Are you avoiding me?"" makes them laugh). Keep it light. NO VOICEMAIL - research shows 3+ voicemails decrease response rates. Only leaving 2 total VMs (Day 0 and Day 11)."
1,2:00 PM,Email,Email,Value Proposition,"SUBJECT: What makes us different (probably not what you think)

Hi [Name],

You've probably heard from a bunch of ""we buy houses"" companies by now.

I'm guessing some of them sounded too good to be true?

Here's the truth: We're not going to offer you retail value. Nobody who buys cash can.

What we CAN offer:
→ A real number in 24 hours (not ""maybe"" or ""we'll see"")
→ Close on YOUR timeline (7 days or 60 days - you pick)
→ Zero repairs, zero fees, zero BS

The question is: Does that make sense for what you need right now?

If it doesn't, I totally get it. Listing with an agent might be the better move.

But if speed and simplicity matter more than squeezing every last dollar, let's talk.

What sounds more important to you - max price or fast/easy?

[Lead Manager First Name]","ADDRESS ""too good to be true"" concern upfront. BE HONEST: ""We won't offer retail"" builds massive trust. Then force them to think about what matters more - max price or speed/simplicity?"
1,5:00 PM,Text,Text,Evening Check,"Hi [Name], [Lead Manager First Name]. Wrong number?","HUMOR breaks the pattern of ignored texts. ""Wrong number?"" makes them respond ""No, right number but..."" and suddenly they're talking to you."
2,11:00 AM,Call,Phone,Fourth Call,"Hi [Name], [Lead Manager First Name] with REI Team. I feel like I might be bothering you at this point?

[Listen]

It seems like you might still be thinking it over?

[If no answer, don't leave VM - just note the attempt]","LABEL how they might be feeling (""I feel like I might be bothering you"") - shows self-awareness and empathy. NO VOICEMAIL on this call - save VMs for Day 0 and Day 11 only."
4,10:00 AM,Email,Email,Address the Elephant,"SUBJECT: You're probably thinking...

Hi [Name],

You're probably thinking one of these:

1. ""This sounds like a lowball""
2. ""I need to talk to my family first""
3. ""I'm not sure I'm ready to sell""
4. ""I want to see what a realtor says""

All totally valid.

Here's what I've learned working with homeowners in [Neighborhood]:

The people who sell to us are usually in one of these situations:
→ They inherited a property they don't want
→ They're tired of being a landlord
→ The house needs work they can't afford or don't want to deal with
→ They need to sell fast (divorce, relocation, financial pressure)

Does any of that sound familiar?

If not - if you have time and the house is in great shape - you'll probably get more money listing it traditionally.

But if you're in one of those situations above, we might be able to help.

What's really going on with [Address]?

[Lead Manager First Name]","LIST every objection they're probably thinking (""You're probably thinking...""). Then describe common situations they might relate to. End with ""What's really going on?"" to get them to open up."
